ci,lac,latitude,longitude,cell_name,address
34584,254,10.77658,106.72505,2G_Q02146F24_HCM,"2 Đường 13, An Lợi Đông, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
34585,254,10.77658,106.72505,2G_Q02146F25_HCM,"2 Đường 13, An Lợi Đông, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
54074,254,10.78261,106.73671,2G_Q02071F24_HCM,"2/6A Lương Định Của, Phường Bình Khánh, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
54084,254,10.78261,106.73671,2G_Q02072F24_HCM,"2/6A Lương Định Của, Phường Bình Khánh, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
35024,254,10.792061,106.760637,2G_Q02173F24_HCM,"ĐCT Thành phố Hồ Chí Minh - Long Thành - Dầu Giây, An Phú, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam"
35025,254,10.792061,106.760637,2G_Q02173F25_HCM,"ĐCT Thành phố Hồ Chí Minh - Long Thành - Dầu Giây, An Phú, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam"
34884,254,10.791781,106.776959,2G_Q02080F24_HCM,"Cao ốc PetroLand, Đường B5, Bình Trưng Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
34904,254,10.77386,106.72712,2G_Q02149F24_HCM,"26 Đ. Trần Não, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
34905,254,10.77386,106.72712,2G_Q02149F25_HCM,"26 Đ. Trần Não, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
34906,254,10.77386,106.72712,2G_Q02149F26_HCM,"26 Đ. Trần Não, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
54654,254,10.771182,106.724333,2G_Q02090F24_HCM,"Nguyễn Cơ Thạch, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
54655,254,10.771182,106.724333,2G_Q02090F25_HCM,"Nguyễn Cơ Thạch, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
54656,254,10.771182,106.724333,2G_Q02090F26_HCM,"Nguyễn Cơ Thạch, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
12121,26118,10.790234,106.771196,3G_Q02079F11_HCM,"phường Bình Trưng Đông, Binh Trung Tay, Quận 2, Ho Chi Minh City, Vietnam"
12122,26118,10.790234,106.771196,3G_Q02079F12_HCM,"phường Bình Trưng Đông, Binh Trung Tay, Quận 2, Ho Chi Minh City, Vietnam"
12131,26118,10.805569,106.75141,3G_Q02078F11_HCM,"6 An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
11781,26118,10.77716,106.751322,3G_Q02195F11_HCM,"QQG2+RC9, Tạ Hiện, Phường Thạnh Mỹ Lợi, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
11782,26118,10.77716,106.751322,3G_Q02195F12_HCM,"QQG2+RC9, Tạ Hiện, Phường Thạnh Mỹ Lợi, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
11791,26118,10.761912,106.758538,3G_Q02196F11_HCM,"Thanh My Loi, Phường Thạnh Mỹ Lợi, Quận 2, Ho Chi Minh City, Vietnam"
11871,26118,10.77107,106.78646,3G_Q02205F11_HCM,"Cát Lái, Cat Lai, Thủ Đức, Ho Chi Minh City, Vietnam"
12291,26118,10.79004,106.77653,3G_Q02110F11_HCM,"phường Bình Trưng Đông, Bình Trưng Đông, Quận 2, Ho Chi Minh City, Vietnam"
12381,26118,10.767642,106.784386,3G_Q02132F11_HCM,"QQ9M+2R2, Cát Lái, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
12382,26118,10.767642,106.784386,3G_Q02132F12_HCM,"QQ9M+2R2, Cát Lái, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
12132,26118,10.805569,106.75141,3G_Q02078F12_HCM,"6 An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
12133,26118,10.805569,106.75141,3G_Q02078F13_HCM,"6 An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
